agent,grid,fire_spread,success,fire,stuck
reactive,10x10,0.1,7,0,23
search,10x10,0.1,27,0,3
q_learning,10x10,0.1,14,0,16
reactive,10x10,0.3,6,0,24
search,10x10,0.3,10,0,20
q_learning,10x10,0.3,8,0,22
reactive,10x10,0.5,4,0,26
search,10x10,0.5,5,0,25
q_learning,10x10,0.5,4,0,26
reactive,15x15,0.1,2,0,28
search,15x15,0.1,25,0,5
q_learning,15x15,0.1,6,0,24
reactive,15x15,0.3,1,0,29
search,15x15,0.3,7,0,23
q_learning,15x15,0.3,4,0,26
reactive,15x15,0.5,0,0,30
search,15x15,0.5,5,0,25
q_learning,15x15,0.5,2,0,28
